"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","WIDTH_SEQ_NO","WIDTH_TEXT"
"2026/01/22","IR","128","ZAB ZFW",45,"3 NM EITHER SIDE OF CENTERLINE FROM Y TO Z; 4 NM EITHER SIDE OF"
"2026/01/22","IR","128","ZAB ZFW",50,"CENTERLINE FROM Z TO AF. RE-ENTRY; 4 NM EITHER SIDE OF CENTERLINE"
"2026/01/22","IR","128","ZAB ZFW",55,"FROM O1 TO J1. ALTERNATE EXIT RG: 4 NM LEFT AND 5 NM RIGHT OF"
"2026/01/22","IR","128","ZAB ZFW",60,"CENTERLINE FROM RA TO RC; 5 NM EITHER SIDE OF CENTERLINE FROM RC"
"2026/01/22","IR","128","ZAB ZFW",65,"TO RE; 5 NM LEFT AND 3 NM RIGHT OF CENTERLINE FROM RE TO RG."
"2026/01/22","IR","128","ZAB ZFW",70,"RE-ENTRY R-5104/R-5105 BOUNDARIES FROM RG TO RH; 4 NM EITHER"
"2026/01/22","IR","128","ZAB ZFW",75,"SIDE OF CENTERLINE FROM RH TO RG1."
"2026/01/22","IR","129","ZFW ZHU",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO E;"
"2026/01/22","IR","129","ZFW ZHU",10,"2.5 NM EITHER SIDE OF CENTERLINE FROM E TO G; 5 NM EITHER SIDE OF"
"2026/01/22","IR","129","ZFW ZHU",15,"CENTERLINE FROM G TO K."
"2026/01/22","IR","133","ZAB",5,"STARTING AT N33-17.2 W105-21.3 TO N33-32"
"2026/01/22","IR","133","ZAB",10,"W105-08 TO N34-06 W104-58 TO N34-13 W105-05 TO N34-31"
"2026/01/22","IR","133","ZAB",15,"W105-05 TO N34-32 W104-58 TO N34-42 W105-13 TO N34-42"
"2026/01/22","IR","133","ZAB",20,"W106-14 TO N34-16 W106-30 TO N33-50 W106-30 VIA THE"
"2026/01/22","IR","133","ZAB",25,"SOUTHERN BOUNDARY OF R-5107C TO N33-45 W106-04 TO N33-39"
"2026/01/22","IR","133","ZAB",30,"W105-49 TO N34-27 W105-49 TO N34-22 W105-30 TO N33-35"
"2026/01/22","IR","133","ZAB",35,"W105-14 TO N33-20 W105-26.2 TO BEGINNING. ALTERNATE ENTRY"
"2026/01/22","IR","133","ZAB",40,"ELK: 2 NM EITHER SIDE OF CENTERLINE FROM A2 TO A."
"2026/01/22","IR","134","ZAB",1,"STARTING AT N32-35 W105-10 TO N32-13"
"2026/01/22","IR","134","ZAB",2,"W105-15 TO N32-10.5 W105-00 TO N32-35 W105-10 TO N32-44"
"2026/01/22","IR","134","ZAB",3,"W105-23 TO N32-34 W105-30 TO N32-26 W105-30 TO N32-15"
"2026/01/22","IR","134","ZAB",4,"W105-42 TO N32-06 W105-41 TO N32-02 W104-41 TO N32-12"
"2026/01/22","IR","134","ZAB",5,"W104-41 TO N33-00 W105-09 TO N33-00 W105-21.5 TO N32-36"
"2026/01/22","IR","134","ZAB",10,"W105-38.5 TO N32-44 W105-59 TO N32-27.8 W106-00 TO N32-23"
